House,Price,Location,Category,Size,Bedroom,Bathroom
"Landed Single Room, Setapak",RM 450 per month,Setapak,Room,100 sq.ft.,,
"Landed Furnished Room, Setapak",RM 650 per month,Setapak,Room,150 sq.ft.,,
"RICA RESIDENCE SENTUL, KL + Near MRT Sentul West with Free Wifi",RM 800 per month,Bukit Jalil,Room,100 sq.ft.,,
"Diamond Square Shop-Office, Jalan Gombak, Kuala Lumpur",RM 950 per month,KL City,Commercial Property,893 sq.ft.,,
(NON SHARING) MASTER ROoM ADA TOILET SENTUL TERES JLN SENTUL,RM 460 per month,Sentul,Room,60 sq.ft.,,
FULLY FURNISHED BAYU SENTuL CONDO,RM 560 per month,Sentul,Room,30 sq.ft.,,
"RENT–Ground Floor SHOP [ HALF Shop Only] @ Tmn Melawati, Melawati Mall",RM 3 000 per month,Taman Melawati,Commercial Property,500 sq.ft.,,
Dwitasik Sri Permaisuri Cheras,RM 1 500 per month,Cheras,Commercial Property,1650 sq.ft.,,
Majestic Maxim 2 bed partly rm1400 walk to mrt connaught ready move in,RM 1 400 per month,Cheras,Apartment / Condominium,650 sq.ft.,2 Bathrooms,
"2-storey Terraced House for Rent Taman Prima Impian, Sri Sinar",RM 2 300 per month,Kepong,House,1650 sq.ft.,3 Bathrooms,
(NON SHARING) FULLY FURNISHED MEDIUM ROoM TAMAN MEGAN SETAPAK,RM 270 per month,Setapak,Room,150 sq.ft.,,
"Fully furnished nice view the mark@cheras Taman bukit segar, ampang",RM 1 500 per month,Cheras,Apartment / Condominium,618 sq.ft.,1 Bathroom,
"PANDAN INDAH MPAJ Menara A, OFFICE TO LET",RM 800 per month,Pandan Indah,Commercial Property,800 sq.ft.,,
Bilik untuk Muslimah non sharing dekat MRT Jinjang,RM 250 per month,Jinjang,Room,300 sq.ft.,,
Taman Desa Jaya / Kepong / Reno / Endlot / Landed / Single Storey,RM 1 650 per month,Kepong,House,1430 sq.ft.,2 Bathrooms,
150423-Bilik Perempuan Kuala Lumpur free Wifi & Berjln kaki LRT,RM 320 per month,Setapak,Room,1100 sq.ft.,,
"Majestic Maxim, Taman Connaught, Cheras",RM 2 100 per month,Cheras,Apartment / Condominium,819 sq.ft.,2 Bathrooms,
"[LOW DEPOSIT] Apartment Sri Penara, Bandar Tasek Permaisuri, Cheras",RM 800 per month,Cheras,Apartment / Condominium,650 sq.ft.,2 Bathrooms,
150423-Bilik Perempuan KL Free Internet&berdekatan/berjalankaki ke LRT,RM 230 per month,Wangsa Maju,Room,600 sq.ft.,,
"MASTER BED ROOM!!! @ TR Residence!!! - Monorail, LRT, MRT",RM 1 200 per month,Titiwangsa,Room,200 sq.ft.,,
Low Floor / Fully Furnished / Duta Ria Condo Dutamas Changkat View,RM 2 100 per month,Solaris Dutamas,Apartment / Condominium,1326 sq.ft.,2 Bathrooms,
"The Reach Titiwangsa, F/Furnished, Titiwangsa, Jalan Pahang",RM 2 650 per month,Setapak,Apartment / Condominium,1440 sq.ft.,3 Bathrooms,
Ecosky In Jalan Ipoh Partially Furnished For Rent !!!,RM 1 650 per month,Jalan Ipoh,Apartment / Condominium,816 sq.ft.,2 Bathrooms,
Work At HKL? Rent With Us No Deposit 5 Min Walk To HKL,RM 890 per month,KL City,Room,150 sq.ft.,,
M Centura In Sentul Basic Unit For Rent!!!,RM 1 200 per month,Sentul,Apartment / Condominium,661 sq.ft.,1 Bathroom,
"Cheap Unit, Seri Puteri Condo, Partly Furnished , Cheras Permaisuri",RM 1 700 per month,Cheras,Apartment / Condominium,1010 sq.ft.,2 Bathrooms,
Condo Nusa Mewah Villa Cheras 8 mins Taman Midah MRT,RM 1 199 per month,Cheras,Apartment / Condominium,860 sq.ft.,2 Bathrooms,
New unit klcc 2 bedroom near embassy hospital,RM 1 500 per month,Ampang,Apartment / Condominium,430 sq.ft.,1 Bathroom,
Lakeville In Jalan Ipoh Fully Furnished Unit For Rent (2 carpark),RM 1 800 per month,Jalan Ipoh,Apartment / Condominium,978 sq.ft.,2 Bathrooms,
Comfortable Master Room with AC & Wifi at Suasana Lumayan Condo,RM 750 per month,Cheras,Room,1000 sq.ft.,,
Comfortable Small Room at Suasana Lumayan Condominium,RM 390 per month,Cheras,Room,1000 sq.ft.,,
"Bam Villa Condo, Taman Maluri, Cheras [FOR RENT]",RM 1 300 per month,Cheras,Apartment / Condominium,1112 sq.ft.,2 Bathrooms,
Rumah Sewa,RM 800 per month,Setapak,Apartment / Condominium,950 sq.ft.,2 Bathrooms,
small room for rent,RM 450 per month,Setapak,Room,1250 sq.ft.,,
Arte Kuchai Lama Condo next to Dynasty Garden Furnished,RM 2 200 per month,Kuchai Lama,Apartment / Condominium,1496 sq.ft.,3 Bathrooms,
